DBN,name,Num of SAT Test Takers,reading,math,writing
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74,356,363,356
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,369,363
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,384
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,380,393
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75,433,433,411
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,394,400,364
11X542,PELHAM PREPARATORY ACADEMY,76,431,438,419
02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,399,387
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76,365,384,378
28Q440,FOREST HILLS HIGH SCHOOL,762,456,497,454
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,398,402,385
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384
27Q410,BEACH CHANNEL HIGH SCHOOL,78,384,396,354
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,400,426,394
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78,377,359,376
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431
09X231,EAGLE ACADEMY FOR YOUNG MEN,78,373,387,374
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,403,394,404
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79,418,441,414
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79,382,393,382
02M394,EMMA LAZARUS HIGH SCHOOL,79,319,512,357
79Q950,GED PLUS s CITYWIDE,8,496,400,426
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8,430,416,425
13K553,BROOKLYN ACADEMY HIGH SCHOOL,8,435,383,379
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80,404,418,402
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,411,464,415
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440
31R455,TOTTENVILLE HIGH SCHOOL,807,462,486,470
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,459,480,457
02M519,TALENT UNLIMITED HIGH SCHOOL,81,469,472,475
11X265,BRONX LAB SCHOOL,81,377,391,367
22K405,MIDWOOD HIGH SCHOOL,824,478,519,476
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,399,418,390
02M475,STUYVESANT HIGH SCHOOL,832,679,735,682
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84,408,384,403
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392
02M298,PACE HIGH SCHOOL,85,423,438,432
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,373,412,365
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,385,373
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE‰ÛÒBUSHWICK,88,384,409,361
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,489
13K595,BEDFORD ACADEMY HIGH SCHOOL,89,438,443,431
27Q323,SCHOLARS' ACADEMY,89,499,537,496
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,421
07X321,CROTONA ACADEMY HIGH SCHOOL,9,379,364,382
15K520,PACIFIC HIGH SCHOOL,9,352,341,300
08X377,BRONX COMMUNITY HIGH SCHOOL,9,367,369,376
79X490,PHOENIX ACADEMY,9,367,370,360
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,9,404,368,399
02M586,HARVEY MILK HIGH SCHOOL,9,458,416,429
25Q467,FLUSHING YABC,9,378,373,344
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,9,439,374,418
28Q470,JAMAICA HIGH SCHOOL,90,342,368,353
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90,305,364,312
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,399,417,395
02M376,NYC ISCHOOL,92,473,483,479
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,636
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,423,426,416
26Q430,FRANCIS LEWIS HIGH SCHOOL,934,468,539,467
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94,363,378,361
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523
14K610,AUTOMOTIVE HIGH SCHOOL,94,367,376,350
02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,414,376
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97,444,471,433
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,441
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99,414,435,414
